Data Reuploading Reps,Row,Expressibility,Loss Dispersion,Min Loss,Max Loss,Mean Loss,Median Loss,Mean Loss Error,Loss Dispersion Error
1,0,0.447179208066538,0.0700572005812337,0.281647505013801,0.999999890791267,0.9689894560905834,0.9955031158734744,0.0011077016016598526,0.000783361240340699
1,1,0.4593473839647299,0.0707004242623818,0.272932693668103,0.999999921169554,0.9691053299534136,0.99570646228654,0.0011178718610467822,0.0007905535988206303
1,2,0.605256984226025,0.0741401020888405,0.1955198174760239,0.999999999758214,0.9687005471553428,0.996680203100137,0.0011722579427907167,0.0008290151740213509
1,3,0.5336598257103404,0.074481735929911,0.18429776045383,0.999999931721208,0.9688681674617462,0.9959130440086744,0.0011776596481085904,0.0008328352340189386
1,4,0.443196237191771,0.0658239577630989,0.3908714828781889,0.999999995512999,0.9688815209869708,0.99602681281495,0.0010407681556905731,0.0007360262295614397
1,5,0.5797415679214755,0.0750649487485504,0.210215211753213,0.99999998901458,0.9689902779310664,0.9965969477759996,0.0011868810524461263,0.0008393565667756222
1,6,0.5380972227342132,0.0727279158151526,0.2407615356568501,0.99999999207426,0.96912080053335,0.9964029921874792,0.0011499293172643182,0.0008132244775366188
1,7,0.3467347987508751,0.0628223135789043,0.4160801423078329,0.999999990587238,0.9680194883263498,0.9943829874193806,0.0009933079939533085,0.0007024626316488221
1,8,0.3626593779559892,0.0626880669398363,0.443195487749294,0.999999952480079,0.969390532444274,0.9950856288419964,0.0009911853682149216,0.0007009615209447206
1,9,0.6453858013587065,0.0773990740776051,0.1430516307103859,0.999999999093949,0.968785361002953,0.996790402230067,0.0012237868143666407,0.0008654561439455487
1,10,0.3816146024294986,0.0623319227867891,0.5433130815885411,0.99999998966086,0.9687979844499696,0.9954595232534716,0.0009855542347200175,0.0006969792104447791
1,11,0.3576942928709139,0.0657627303301681,0.314375289541894,0.999999936252181,0.9685370683402844,0.9941300007352504,0.0010398000649738406,0.0007353416004668482
