Data Reuploading Reps,Mean Expressibility,Mean Loss Dispersion,Mean Min Loss,Mean Mean Loss,Mean Max Loss,Mean Median Loss,Expressibility Error,Mean Loss Dispersion Error,Mean Mean Loss Error
1,0.4928170494809903,0.06993474673709167,0.29378381685910576,0.968890059587227,0.9999998915843105,0.9956073215135735,0.011064023658936833,5.5631817437137595e-05,7.866543569549675e-05
2,0.7828330779599351,0.038008318647158444,0.5956970443837094,0.9684690511763577,0.9999930188252675,0.9813607416825925,0.0029951594891940506,3.007856810353244e-05,4.253220142654385e-05
3,1.1297329571736119,0.031084818491220606,0.7370734479644829,0.9689197689524224,0.9999917849080595,0.9785479269065352,0.0008876149620779769,2.4585044288388714e-05,3.476415672963661e-05
4,1.1746765382615996,0.030282163173485956,0.7620829208900709,0.968906438791414,0.9999923845686233,0.978098022110096,0.00032761853659314585,2.394666687551963e-05,3.386146759174792e-05
5,1.1791387630498331,0.030333444015378346,0.7502959784975584,0.9687096552327151,0.9999911634737628,0.9778763101800024,0.0001840145380522115,2.3988338895702318e-05,3.3920393360759276e-05
10,1.1783166848381204,0.0302648146713303,0.7423592071211331,0.9687501183852573,0.9999937486480647,0.9778664329815661,0.0002483639824521438,2.393229679342241e-05,3.384114776720803e-05
20,1.1803130088478628,0.03043368266438924,0.7431852352487298,0.9687095863273666,0.9999916767677414,0.9779255814353773,0.00033033726952210265,2.406602302614603e-05,3.403024157801167e-05
